Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-],Rounded_Time
2018-12-18 21:42:58,0.0,0.0,4.18498,-0.04597,-9.8849,0.0,0.0,-0.0,1.0,0
2018-12-18 21:42:59,0.008350000000064,0.5010000000038417,4.1752,-0.0945,-9.8849,-1e-05,2.805555555419739e-05,-1.2734919444514647e-05,1.0,1
2018-12-18 21:43:00,0.0266000000000834,1.596000000005006,4.16694,-0.09706,-9.8849,-4e-05,2.6944444442859965e-05,-4.205111388899503e-05,1.0,2
2018-12-18 21:43:01,0.0433000000002114,2.5980000000126893,4.16357,-0.09706,-9.8849,-7e-05,2.8333333337084495e-05,-6.885210277808625e-05,1.0,3
2018-12-18 21:43:02,0.0599500000001474,3.5970000000088476,4.16188,-0.0945,-9.8849,-9e-05,2.750000000054974e-05,-9.557434166686462e-05,1.0,4
2018-12-18 21:43:03,0.0766833333334943,4.6010000000096625,4.16087,-0.09706,-9.77974,-0.00012,2.8611111111887213e-05,-0.000122440630555773,1.0,5
2018-12-18 21:43:04,0.0916833333333973,5.501000000003842,4.1602,-0.09706,-9.77974,-0.00015,2.8888888886689933e-05,-0.0001467056305556161,1.0,6
2018-12-18 21:43:05,0.1100166666668277,6.6010000000096625,4.15986,-0.09706,-9.8849,-0.00017,2.8333333333042295e-05,-0.00017636285277799528,1.0,7
2018-12-18 21:43:06,0.126650000000033,7.599000000001979,4.15952,-0.09706,-9.8849,-0.0002,2.8333333333042295e-05,-0.00020327004166667708,1.0,8
2018-12-18 21:43:07,0.141700000000128,8.502000000007683,4.15919,-0.0945,-9.8849,-0.00023,2.8055555554197377e-05,-0.00022747512500016139,1.0,9
2018-12-18 21:43:08,0.1599500000001474,9.597000000008848,4.15902,-0.09706,-9.8849,-0.00026,2.722222222170482e-05,-0.00025650331944463225,1.0,10
2018-12-18 21:43:09,0.1766999999999825,10.601999999998952,4.15868,-0.0945,-9.8849,-0.00028,2.8888888886689933e-05,-0.00028309505833326283,1.0,11
2018-12-18 21:43:10,0.1933000000002115,11.59800000001269,4.15851,-0.09706,-9.8849,-0.00031,2.8333333337084987e-05,-0.00030952663611141557,1.0,12
2018-12-18 21:43:11,0.210000000000097,12.60000000000582,4.15834,-0.0945,-9.8849,-0.00033,2.861111111188672e-05,-0.000336181136111232,1.0,13
2018-12-18 21:43:12,0.2266000000000834,13.596000000005006,4.15817,-0.09706,-9.8849,-0.00036,2.6944444442859904e-05,-0.0003627492472223225,1.0,14
2018-12-18 21:43:13,0.243350000000161,14.601000000009662,4.15801,-0.0945,-9.8849,-0.00039,2.888888889073164e-05,-0.0003893409861113351,1.0,15
2018-12-18 21:43:14,0.2584000000000135,15.504000000000817,4.15784,-0.0945,-9.8849,-0.00041,2.9166666665535345e-05,-0.0004131798472222054,1.0,16
2018-12-18 21:43:15,0.2766833333334944,16.601000000009662,4.15784,-0.0945,-9.8849,-0.00044,2.8611111111887213e-05,-0.0004420479194446563,1.0,17
2018-12-18 21:43:16,0.2916833333333973,17.50100000000384,4.15767,-0.0945,-9.8849,-0.00046,2.8611111111887213e-05,-0.00046587843055560736,1.0,18
2018-12-18 21:43:17,0.310000000000097,18.60000000000582,4.1575,-0.0945,-9.8849,-0.00049,2.8055555554197377e-05,-0.0004950087805556649,1.0,19
2018-12-18 21:43:18,0.3266833333334943,19.601000000009662,4.15733,-0.0945,-9.99006,-0.00052,2.888888889073213e-05,-0.0005215637861113266,1.0,20
2018-12-18 21:43:19,0.3432833333334807,20.597000000008848,4.15716,-0.09706,-9.8849,-0.00055,2.69444444469021e-05,-0.0005479846972224209,1.0,21
2018-12-18 21:43:20,0.3600500000000465,21.60300000000279,4.11722,-0.38567,-9.8849,-0.00062,2.9166666665533865e-05,-0.0006246247555553753,1.0,22
2018-12-18 21:43:21,0.3766333333335448,22.59800000001269,4.03192,-0.9348,-9.8849,-0.00081,2.8055555558239574e-05,-0.0008248827500018921,1.0,23
